Name,Height,Coordinates,Convex Hull
Baird Research Park,4.1,"[[-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800419, 43.00251], [-78.800439, 43.003184], [-78.800132, 43.003188], [-78.800112, 43.002515], [-78.800251, 43.002512]]","[[-78.800132, 43.003188], [-78.800439, 43.003184], [-78.800419, 43.00251], [-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800251, 43.002512], [-78.800251, 43.002512], [-78.80025, 43.002454], [-78.800314, 43.002453], [-78.800316, 43.002512], [-78.800251, 43.002512], [-78.800112, 43.002515]]"
Academic Center,9.0,"[[-78.785432, 43.007868], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.786, 43.009019], [-78.785851, 43.00902], [-78.785717, 43.009112], [-78.785716, 43.009224], [-78.784051, 43.009217], [-78.784048, 43.008805], [-78.784109, 43.008805], [-78.784342, 43.008657], [-78.784364, 43.008672], [-78.78438, 43.008661], [-78.784379, 43.008636], [-78.784423, 43.008604], [-78.784525, 43.008684], [-78.784557, 43.008733], [-78.784572, 43.008871], [-78.784554, 43.008871], [-78.784554, 43.008899], [-78.785303, 43.008896], [-78.785301, 43.008834], [-78.785468, 43.008716], [-78.785538, 43.008717], [-78.785543, 43.008207], [-78.785413, 43.008207], [-78.785358, 43.008246], [-78.785308, 43.008211], [-78.78515, 43.008211], [-78.785148, 43.008132], [-78.785364, 43.007973], [-78.785322, 43.007941], [-78.785432, 43.007868]]","[[-78.784048, 43.008805], [-78.784109, 43.008805], [-78.784051, 43.009217], [-78.785716, 43.009224], [-78.786, 43.009019], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.78596, 43.007866], [-78.785961, 43.00794], [-78.785998, 43.00794], [-78.785432, 43.007868], [-78.785432, 43.007868], [-78.785364, 43.007973], [-78.785322, 43.007941]]"
Bonner Hall,16.8,"[[-78.787813, 43.001383], [-78.788492, 43.001384], [-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547], [-78.788485, 43.001654], [-78.788371, 43.001653], [-78.788371, 43.001629], [-78.788354, 43.001629], [-78.788354, 43.001678], [-78.787831, 43.001677], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787813, 43.001383]]","[[-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547], [-78.788492, 43.001384], [-78.787813, 43.001383], [-78.787813, 43.001383], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787831, 43.001548], [-78.787794, 43.001548], [-78.787794, 43.001518], [-78.787813, 43.001518], [-78.787831, 43.001677], [-78.788371, 43.001653], [-78.788371, 43.001629], [-78.788354, 43.001629], [-78.788354, 43.001678], [-78.788485, 43.001654], [-78.788491, 43.00152], [-78.788508, 43.00152], [-78.788508, 43.001547], [-78.788485, 43.001547]]"
Norton Hall,9.1,"[[-78.788156, 43.001274], [-78.788156, 43.001106], [-78.78826, 43.001106], [-78.788259, 43.000938], [-78.788936, 43.000938], [-78.788936, 43.00102], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.788842, 43.001107], [-78.788842, 43.001273], [-78.788156, 43.001274]]","[[-78.788156, 43.001274], [-78.788156, 43.001274], [-78.788842, 43.001273], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.789147, 43.00102], [-78.789147, 43.001107], [-78.788936, 43.000938], [-78.788936, 43.00102], [-78.788259, 43.000938], [-78.788156, 43.001106]]"
O'Brian Hall,28.8,"[[-78.788403, 43.000573], [-78.787719, 43.000576], [-78.787719, 43.000545], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.787581, 43.000576], [-78.787579, 43.000297], [-78.787657, 43.000297], [-78.787736, 43.000236], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.78844, 43.000443], [-78.788412, 43.000443], [-78.788412, 43.000493], [-78.788402, 43.000493], [-78.788403, 43.000573]]","[[-78.787719, 43.000576], [-78.787719, 43.000545], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.788403, 43.000573], [-78.788412, 43.000493], [-78.788402, 43.000493], [-78.788403, 43.000573], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.78844, 43.000443], [-78.788412, 43.000443], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.788464, 43.000363], [-78.78844, 43.000363], [-78.788481, 43.000234], [-78.788481, 43.000289], [-78.788464, 43.000289], [-78.787657, 43.000297], [-78.787736, 43.000236], [-78.787579, 43.000297], [-78.787657, 43.000297], [-78.787667, 43.000545], [-78.787656, 43.000576], [-78.787581, 43.000576]]"
Park Hall,18.5,"[[-78.787833, 42.999965], [-78.787732, 42.999965], [-78.787732, 42.999937], [-78.787611, 42.999937], [-78.787608, 42.999557], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787923, 42.999589], [-78.787924, 42.999602], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.787852, 42.999936], [-78.787849, 42.999956], [-78.787833, 42.999965]]","[[-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788369, 42.999934], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788428, 42.99988], [-78.788369, 42.99988], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788397, 42.999819], [-78.788427, 42.999819], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788349, 42.999764], [-78.788396, 42.999764], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.788302, 42.999709], [-78.788349, 42.999708], [-78.788255, 42.999601], [-78.788255, 42.999653], [-78.788302, 42.999653], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787717, 42.999556], [-78.787722, 42.999521], [-78.787757, 42.999512], [-78.787775, 42.999528], [-78.787775, 42.999589], [-78.787608, 42.999557], [-78.787611, 42.999937], [-78.787732, 42.999965], [-78.787732, 42.999937], [-78.787833, 42.999965], [-78.787852, 42.999936], [-78.787849, 42.999956], [-78.787833, 42.999965]]"
Knox Lecture Hall,8.6,"[[-78.788259, 43.000938], [-78.78826, 43.001106], [-78.788156, 43.001106], [-78.788156, 43.001171], [-78.788047, 43.001171], [-78.788047, 43.001232], [-78.787974, 43.001286], [-78.787918, 43.001286], [-78.787895, 43.001269], [-78.787873, 43.001286], [-78.787741, 43.001286], [-78.787721, 43.001272], [-78.787704, 43.001286], [-78.787612, 43.001286], [-78.787541, 43.001234], [-78.78754, 43.00115], [-78.787572, 43.001127], [-78.787539, 43.001102], [-78.787538, 43.001056], [-78.787568, 43.001034], [-78.787537, 43.001012], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787693, 43.000868], [-78.787741, 43.000902], [-78.787833, 43.000901], [-78.787945, 43.000815], [-78.788078, 43.000814], [-78.788159, 43.000871], [-78.788159, 43.000938], [-78.788259, 43.000938]]","[[-78.788047, 43.001232], [-78.787974, 43.001286], [-78.787918, 43.001286], [-78.787895, 43.001269], [-78.78826, 43.001106], [-78.788259, 43.000938], [-78.788259, 43.000938], [-78.788078, 43.000814], [-78.788159, 43.000871], [-78.787945, 43.000815], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787693, 43.000868], [-78.787537, 43.001012], [-78.787535, 43.000923], [-78.787605, 43.000869], [-78.787612, 43.001286], [-78.787541, 43.001234], [-78.78754, 43.00115], [-78.787704, 43.001286], [-78.787612, 43.001286], [-78.787541, 43.001234]]"
Davis Hall,14.7,"[[-78.786844, 43.002646], [-78.787499, 43.002646], [-78.787499, 43.002312], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787805, 43.003013], [-78.787633, 43.002974], [-78.787545, 43.002974], [-78.787545, 43.002939], [-78.7875, 43.002929], [-78.7875, 43.002956], [-78.786773, 43.002959], [-78.786796, 43.002853], [-78.786829, 43.002853], [-78.786829, 43.002833], [-78.78681, 43.002831], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646]]","[[-78.787805, 43.003013], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787758, 43.002365], [-78.787758, 43.002396], [-78.787806, 43.002396], [-78.787499, 43.002312], [-78.786844, 43.002646], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646], [-78.786844, 43.002646], [-78.786809, 43.002674], [-78.786845, 43.002674], [-78.786844, 43.002646], [-78.786773, 43.002959]]"
Baldy Hall,28.8,"[[-78.787394, 43.000559], [-78.786405, 43.000558], [-78.786402, 43.00022], [-78.787376, 43.000217], [-78.787377, 43.00024], [-78.787736, 43.000236], [-78.787657, 43.000297], [-78.787579, 43.000297], [-78.787579, 43.000337], [-78.787393, 43.000339], [-78.787394, 43.000559]]","[[-78.787394, 43.000559], [-78.787394, 43.000559], [-78.787736, 43.000236], [-78.787657, 43.000297], [-78.787376, 43.000217], [-78.787377, 43.00024], [-78.786402, 43.00022], [-78.786405, 43.000558]]"
Furnas Hall,45.7,"[[-78.787337, 43.001844], [-78.787337, 43.001879], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787414, 43.002025], [-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.787337, 43.001844]]","[[-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787414, 43.002025], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.78744, 43.001879], [-78.78744, 43.00191], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787337, 43.001844], [-78.787337, 43.001879], [-78.787392, 43.00191], [-78.787393, 43.00194], [-78.787414, 43.00194], [-78.787337, 43.001844], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879], [-78.786801, 43.001846], [-78.786802, 43.002027], [-78.786802, 43.001964], [-78.786746, 43.001965], [-78.786745, 43.00188], [-78.786802, 43.001879]]"
